Number of rounds,Agent name,Agent score
1,Mr. Grudge,5
1,Mr. Good,5
1,Mr. Evil,12
1,Mr. Sherlock,5
1,Mr. Copy,5
2,Mr. Grudge,8
2,Mr. Good,7
2,Mr. Evil,15
2,Mr. Sherlock,14
2,Mr. Copy,8
3,Mr. Grudge,15
3,Mr. Good,12
3,Mr. Evil,21
3,Mr. Sherlock,13
3,Mr. Copy,15
4,Mr. Grudge,22
4,Mr. Good,17
4,Mr. Evil,27
4,Mr. Sherlock,15
4,Mr. Copy,21
5,Mr. Grudge,26
5,Mr. Good,19
5,Mr. Evil,30
5,Mr. Sherlock,20
5,Mr. Copy,27
6,Mr. Grudge,30
6,Mr. Good,21
6,Mr. Evil,33
6,Mr. Sherlock,25
6,Mr. Copy,33
7,Mr. Grudge,34
7,Mr. Good,23
7,Mr. Evil,36
7,Mr. Sherlock,30
7,Mr. Copy,39
8,Mr. Grudge,38
8,Mr. Good,25
8,Mr. Evil,39
8,Mr. Sherlock,35
8,Mr. Copy,45
9,Mr. Grudge,42
9,Mr. Good,27
9,Mr. Evil,42
9,Mr. Sherlock,40
9,Mr. Copy,51
